#Organism Name,Strain,GenBank FTP,RefSeq FTP
"Haliscomenobacter hydrossis DSM 1100","DSM 1100","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/735/GCA_000212735.1_ASM21273v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/735/GCF_000212735.1_ASM21273v1"
"Brachyspira pilosicoli P43/6/78","P43/6/78","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/665/GCA_000325665.1_ASM32566v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/665/GCF_000325665.1_ASM32566v1"
"Streptococcus parasanguinis ATCC 15912","ATCC 15912","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/675/GCA_000164675.2_ASM16467v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/675/GCF_000164675.2_ASM16467v2"
"Desulfurococcus mucosus DSM 2162","DSM 2162","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/365/GCF_000186365.1_ASM18636v1"
"Runella slithyformis DSM 19594","DSM 19594","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/895/GCA_000218895.1_ASM21889v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1"
"Terriglobus saanensis SP1PR4","SP1PR4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/915/GCA_000179915.2_ASM17991v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/915/GCF_000179915.2_ASM17991v2"
"Mesotoga prima MesG1.Ag.4.2","MesG1.Ag.4.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/715/GCA_000147715.3_ASM14771v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/715/GCF_000147715.2_ASM14771v3"
"Pseudopropionibacterium propionicum F0230a","F0230a","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/715/GCA_000277715.1_ASM27771v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/715/GCF_000277715.1_ASM27771v1"
"Prevotella denticola F0289","F0289","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/395/GCA_000193395.1_ASM19339v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/395/GCF_000193395.1_ASM19339v1"
"Pseudopedobacter saltans DSM 12145","DSM 12145","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/735/GCA_000190735.2_ASM19073v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/735/GCF_000190735.1_ASM19073v2"
"Thermovibrio ammonificans HB-1","HB-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/805/GCA_000185805.1_ASM18580v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/805/GCF_000185805.1_ASM18580v1"
"Halalkalicoccus jeotgali B3","B3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1"
"Isoptericola variabilis 225","225","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/105/GCA_000215105.1_ASM21510v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/105/GCF_000215105.1_ASM21510v1"
"Calditerrivibrio nitroreducens DSM 19672","DSM 19672","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/405/GCA_000183405.1_ASM18340v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/405/GCF_000183405.1_ASM18340v1"
"Pseudomonas fulva 12-X","12-X","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/805/GCA_000213805.1_ASM21380v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/805/GCF_000213805.1_ASM21380v1"
"Sphingobium chlorophenolicum L-1","L-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/835/GCF_000147835.2_ASM14783v3"
"Candidatus Blochmannia vafer str. BVAF","BVAF","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/985/GCA_000185985.2_ASM18598v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/985/GCF_000185985.2_ASM18598v2"
"Capnocytophaga canimorsus Cc5","Cc5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/625/GCA_000220625.1_ASM22062v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/625/GCF_000220625.1_ASM22062v1"
"Thermoanaerobacterium xylanolyticum LX-11","LX-11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/775/GCA_000189775.3_ASM18977v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/775/GCF_000189775.2_ASM18977v3"
"Agrobacterium sp. H13-3","H13-3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/635/GCA_000192635.1_ASM19263v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/635/GCF_000192635.1_ASM19263v1"
"Haemophilus parainfluenzae T3T1","T3T1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/895/GCA_000210895.1_ASM21089v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/895/GCF_000210895.1_ASM21089v1"
"Weeksella virosa DSM 16922","DSM 16922","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/415/GCA_000189415.1_ASM18941v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/415/GCF_000189415.1_ASM18941v1"
"Rahnella aquatilis HX2","HX2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/535/GCA_000255535.1_ASM25553v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/535/GCF_000255535.1_ASM25553v1"
"Cellulophaga lytica DSM 7489","DSM 7489","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/595/GCA_000190595.1_ASM19059v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/595/GCF_000190595.1_ASM19059v1"
"Treponema succinifaciens DSM 2489","DSM 2489","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/275/GCA_000195275.1_ASM19527v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/275/GCF_000195275.1_ASM19527v1"
"Marinithermus hydrothermalis DSM 14884","DSM 14884","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/335/GCA_000195335.1_ASM19533v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/335/GCF_000195335.1_ASM19533v1"
"Vibrio tubiashii ATCC 19109","ATCC 19109","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/105/GCA_000772105.1_ASM77210v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/105/GCF_000772105.1_ASM77210v1"
"Aerococcus urinae","CCUG36881","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/175/GCA_001543175.1_ASM154317v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/175/GCF_001543175.1_ASM154317v1"
"Candidatus Zinderia insecticola CARI","CARI","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/015/GCA_000147015.1_ASM14701v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/015/GCF_000147015.1_ASM14701v1"
"Vibrio scophthalmi","VS-12","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/465/GCA_001685465.1_ASM168546v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/465/GCF_001685465.1_ASM168546v1"
"Capnocytophaga ochracea DSM 7271","DSM 7271","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/285/GCF_000023285.1_ASM2328v1"
"Desulfurobacterium thermolithotrophum DSM 11699","DSM 11699","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/045/GCA_000191045.1_ASM19104v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/045/GCF_000191045.1_ASM19104v1"
"Archaeoglobus veneficus SNP6","SNP6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/625/GCF_000194625.1_ASM19462v1"
"Porphyromonas asaccharolytica DSM 20707","DSM 20707","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/375/GCA_000212375.1_ASM21237v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/375/GCF_000212375.1_ASM21237v1"
"Actinomyces oris","T14V","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/935/GCA_001553935.1_ASM155393v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/935/GCF_001553935.1_ASM155393v1"
"Methanotorris igneus Kol 5","Kol 5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/415/GCA_000214415.1_ASM21441v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/415/GCF_000214415.1_ASM21441v1"
"Sinorhizobium fredii NGR234","NGR234","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/545/GCA_000018545.1_ASM1854v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/545/GCF_000018545.1_ASM1854v1"
"Vibrio anguillarum 775","775","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/675/GCA_000217675.1_ASM21767v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/675/GCF_000217675.1_ASM21767v1"
"Anaerococcus prevotii DSM 20548","DSM 20548","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/105/GCA_000024105.1_ASM2410v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/105/GCF_000024105.1_ASM2410v1"
"Mycoplasma hominis ATCC 23114","ATCC 23114","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/085/865/GCA_000085865.1_ASM8586v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/085/865/GCF_000085865.1_ASM8586v1"
"Staphylococcus simulans","FDAARGOS_124","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/115/GCA_001559115.2_ASM155911v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/115/GCF_001559115.2_ASM155911v2"
"Myroides odoratimimus","PR63039","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/655/GCA_001481655.1_ASM148165v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/655/GCF_001481655.1_ASM148165v1"
"Eubacterium limosum","ATCC 8486","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/675/GCA_000807675.2_ASM80767v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/675/GCF_000807675.2_ASM80767v2"
"Marinomonas posidonica IVIA-Po-181","IVIA-Po-181","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/215/GCA_000214215.1_ASM21421v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/215/GCF_000214215.1_ASM21421v1"
"Desulfofundulus kuznetsovii DSM 6115","DSM 6115","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/705/GCA_000214705.1_ASM21470v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/705/GCF_000214705.1_ASM21470v1"
"Muricauda ruestringensis DSM 13258","DSM 13258","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/085/GCA_000224085.1_ASM22408v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/085/GCF_000224085.1_ASM22408v1"
"Streptococcus parauberis KCTC 11537","KCTC 11537","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/825/GCA_000213825.1_ASM21382v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/825/GCF_000213825.1_ASM21382v1"
"Marinomonas mediterranea MMB-1","MMB-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/865/GCA_000192865.1_ASM19286v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/865/GCF_000192865.1_ASM19286v1"
"Streptococcus porcinus","NCTC10999","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/415/GCA_900475415.1_42206_H01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/415/GCF_900475415.1_42206_H01"
"Leuconostoc lactis","WiKim40","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/145/GCA_001698145.1_ASM169814v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/145/GCF_001698145.1_ASM169814v1"
"Thiomicrospira cyclica ALM1","ALM1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/825/GCA_000214825.1_ASM21482v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/825/GCF_000214825.1_ASM21482v1"
"Acetobacter aceti","TMW2.1153","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/445/GCA_002005445.1_ASM200544v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/445/GCF_002005445.1_ASM200544v1"
"gamma proteobacterium HdN1","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/198/515/GCA_000198515.1_ASM19851v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/198/515/GCF_000198515.1_ASM19851v1"
"Desulfovibrio africanus str. Walvis Bay","Walvis Bay","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/675/GCA_000212675.2_ASM21267v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/675/GCF_000212675.2_ASM21267v2"
"halophilic archaeon DL31","DL31","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/475/GCA_000224475.1_ASM22447v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/475/GCF_000224475.1_ASM22447v1"
"Rhodothermus marinus DSM 4252","DSM 4252","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/845/GCA_000024845.1_ASM2484v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/845/GCF_000024845.1_ASM2484v1"
"Aggregatibacter segnis ATCC 33393","NCTC10977","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/035/GCA_900476035.1_53694_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/035/GCF_900476035.1_53694_C01"
"Enterobacter hormaechei subsp. steigerwaltii","DSM 16691","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/725/GCA_001729725.1_ASM172972v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/725/GCF_001729725.1_ASM172972v1"
"Haemophilus aegyptius","NCTC8502","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/885/GCA_900475885.1_49595_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/885/GCF_900475885.1_49595_C01"
"Streptococcus australis","NCTC13166","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/055/GCA_900476055.1_53750_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/055/GCF_900476055.1_53750_F01"
"Streptococcus cristatus AS 1.3089","AS 1.3089","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/925/GCA_000385925.1_ASM38592v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/925/GCF_000385925.1_ASM38592v1"
"Streptococcus pseudopneumoniae IS7493","IS7493","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/985/GCA_000221985.1_ASM22198v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/985/GCF_000221985.1_ASM22198v1"
"Streptococcus vestibularis","NCTC12167","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/445/GCA_900636445.1_41965_G01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/445/GCF_900636445.1_41965_G01"
"Glutamicibacter arilaitensis Re117","Re117","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/197/735/GCA_000197735.1_ASM19773v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/197/735/GCF_000197735.1_ASM19773v1"
"Desulfobacca acetoxidans DSM 11109","DSM 11109","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/295/GCA_000195295.1_ASM19529v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/295/GCF_000195295.1_ASM19529v1"
"Caldicellulosiruptor kronotskyensis 2002","2002","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/775/GCA_000166775.1_ASM16677v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/775/GCF_000166775.1_ASM16677v1"
"Candidatus Tremblaya princeps PCIT","PCIT","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/195/GCA_000219195.1_ASM21919v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/195/GCF_000219195.1_ASM21919v1"
"Candidatus Moranella endobia PCIT","PCIT","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/175/GCA_000219175.1_ASM21917v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/175/GCF_000219175.1_ASM21917v1"
"Treponema brennaborense DSM 12168","DSM 12168","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/415/GCA_000212415.1_ASM21241v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/415/GCF_000212415.1_ASM21241v1"
"Methylomonas methanica MC09","MC09","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/665/GCA_000214665.1_ASM21466v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/665/GCF_000214665.1_ASM21466v1"
"Thermobacillus composti KWC4","KWC4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/705/GCA_000227705.3_ASM22770v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/705/GCF_000227705.2_ASM22770v3"
"Halopiger xanaduensis SH-6","SH-6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/715/GCA_000217715.1_ASM21771v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/715/GCF_000217715.1_ASM21771v1"
"Plautia stali symbiont","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/175/GCA_000180175.2_ASM18017v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/175/GCF_000180175.2_ASM18017v2"
"Weissella cibaria","CH2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/145/GCA_001308145.2_ASM130814v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/145/GCF_001308145.2_ASM130814v2"
"Xanthomonas vesicatoria ATCC 35937","LMG911","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/725/GCA_001908725.1_ASM190872v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/725/GCF_001908725.1_ASM190872v1"
"Desulfallas gibsoniae DSM 7213","DSM 7213","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/715/GCA_000233715.3_ASM23371v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/715/GCF_000233715.2_ASM23371v3"
"Halovivax ruber XH-70","XH-70","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/525/GCA_000328525.1_ASM32852v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/525/GCF_000328525.1_ASM32852v1"
"Xanthomonas perforans 91-118","91-118","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/045/GCA_000192045.3_ASM19204v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/045/GCF_000192045.2_ASM19204v3"
"Anaerolinea thermophila UNI-1","UNI-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/199/675/GCA_000199675.1_ASM19967v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/199/675/GCF_000199675.1_ASM19967v1"
"Leuconostoc gelidum JB7","JB7","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/875/GCA_000298875.1_ASM29887v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/875/GCF_000298875.1_ASM29887v1"
"Paraburkholderia rhizoxinica HKI 454","HKI 454","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/198/775/GCA_000198775.1_ASM19877v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/198/775/GCF_000198775.1_ASM19877v1"
"Aeromonas caviae","FDAARGOS_72","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/775/GCA_000783775.2_ASM78377v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/775/GCF_000783775.2_ASM78377v2"
"Haliangium ochraceum DSM 14365","DSM 14365","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/805/GCA_000024805.1_ASM2480v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/805/GCF_000024805.1_ASM2480v1"
"Sulfurospirillum deleyianum DSM 6946","DSM 6946","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/885/GCA_000024885.1_ASM2488v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/885/GCF_000024885.1_ASM2488v1"
"Streptobacillus moniliformis DSM 12112","DSM 12112","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/565/GCA_000024565.1_ASM2456v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/565/GCF_000024565.1_ASM2456v1"
"Sanguibacter keddieii DSM 10542","DSM 10542","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/925/GCA_000024925.1_ASM2492v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/925/GCF_000024925.1_ASM2492v1"
"Gordonia bronchialis DSM 43247","DSM 43247","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/785/GCA_000024785.1_ASM2478v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/785/GCF_000024785.1_ASM2478v1"
"Thermomonospora curvata DSM 43183","DSM 43183","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/385/GCA_000024385.1_ASM2438v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/385/GCF_000024385.1_ASM2438v1"
"Thermanaerovibrio acidaminovorans DSM 6589","DSM 6589","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/905/GCA_000024905.1_ASM2490v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/905/GCF_000024905.1_ASM2490v1"
"Xylanimonas cellulosilytica DSM 15894","DSM 15894","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/965/GCA_000024965.1_ASM2496v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/965/GCF_000024965.1_ASM2496v1"
"Sebaldella termitidis ATCC 33386","ATCC 33386","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/405/GCA_000024405.1_ASM2440v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/405/GCF_000024405.1_ASM2440v1"
"Sphaerobacter thermophilus DSM 20745","DSM 20745","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/985/GCA_000024985.1_ASM2498v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/985/GCF_000024985.1_ASM2498v1"
"Thermobaculum terrenum ATCC BAA-798","ATCC BAA-798","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/005/GCA_000025005.1_ASM2500v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/005/GCF_000025005.1_ASM2500v1"
"Streptosporangium roseum DSM 43021","DSM 43021","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/865/GCA_000024865.1_ASM2486v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/865/GCF_000024865.1_ASM2486v1"
"Spirosoma linguale DSM 74","DSM 74","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/525/GCA_000024525.1_ASM2452v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/525/GCF_000024525.1_ASM2452v1"
"Kribbella flavida DSM 17836","DSM 17836","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/345/GCA_000024345.1_ASM2434v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/345/GCF_000024345.1_ASM2434v1"
"Geodermatophilus obscurus DSM 43160","DSM 43160","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/345/GCA_000025345.1_ASM2534v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/345/GCF_000025345.1_ASM2534v1"
"Denitrovibrio acetiphilus DSM 12809","DSM 12809","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/725/GCA_000025725.1_ASM2572v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/725/GCF_000025725.1_ASM2572v1"
"Meiothermus ruber DSM 1279","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/425/GCA_000024425.1_ASM2442v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/425/GCF_000024425.1_ASM2442v1"
"Stackebrandtia nassauensis DSM 44728","DSM 44728","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/545/GCA_000024545.1_ASM2454v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/545/GCF_000024545.1_ASM2454v1"
